"V1" "V2" "V3" "V4"
"1" -2.81430049333146 26.1938460102897 5.36880152415801 -9.02680427888395
"2" -29.3406420118983 -15.2507062818837 -0.723214781432645 27.9820380832967
"3" -2.16749801942102 -6.27059307683306 25.3181943100275 -18.9475878499351
"4" 8.04732160511912 -7.15088022851224 -71.8801088373528 8.0283098912168
"5" -19.0004150748114 2.1484625904079 28.6775060772065 -0.761900021362331
"6" -17.2612931251331 -2.50155782790632 -5.81552756618268 4.30261642070068
"7" -35.4141428626061 60.5071689514522 53.4961867466995 26.344584153035
"8" -22.7055608335351 10.7419280902942 2.44673863910485 10.0925725091087
"9" -7.8687308274175 32.2913358859964 -12.1290377462791 -4.8961437878251
"10" -24.6467141713853 12.3769554286211 -25.5301253658839 26.9953674658869
"11" -17.2612931251331 -2.50155782790632 -5.81552756618268 4.30261642070068
"12" -7.8687308274175 32.2913358859964 -12.1290377462791 -4.8961437878251
"13" -6.97243697651659 17.8311421428273 -20.9632117268511 -14.6213419327799
"14" -2.26950148806813 24.6657363964001 -30.6025779249396 39.6806920463626
"15" -7.83549274877111 14.1518212904362 -8.35450994446611 -23.3129818160864
"16" -27.4097694794212 14.105502236197 -8.20118716830523 -27.3642159306409
"17" -2.24418317014624 39.0039658533386 -23.8243608986415 9.55756019555349
"18" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"19" -20.6012081127605 10.4263336717868 13.1313635673309 -3.25064527321025
"20" -2.93572933394029 2.36346410199253 6.91049520641247 -15.7970103538941
"21" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"22" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"23" -13.1062291296876 -13.8183136513656 21.2578019773101 -5.67200150656733
"24" -47.6132625939756 -24.3206985896245 15.3545553879896 13.150204020897
"25" 54.9496508156727 12.1688490698864 -10.9520632414733 0.849260627429087
"26" 27.7278294128835 -52.7221403799004 23.0757710804279 33.6916242973847
"27" 45.5293492252635 11.5507640797006 23.6023531118779 -16.9226373779216
"28" 19.1324942957383 19.0098217412085 18.9259435450955 3.74079185365456
"29" -2.81430049333146 26.1938460102897 5.36880152415801 -9.02680427888395
"30" -13.1062291296876 -13.8183136513656 21.2578019773101 -5.67200150656733
"31" 17.3910634282352 -12.4317478849166 11.0372480115414 29.3899287821853
"32" 31.4913706617618 9.94175814887277 -0.0344430212157379 28.9882729732113
"33" 31.7659655499956 -1.84637989754958 0.909553093810174 5.62243152523794
"34" 54.9496508156727 12.1688490698864 -10.9520632414733 0.849260627429087
"35" 87.7425435705498 11.4162518628341 18.9952454752675 -23.066134911
"36" 39.4470570340566 -25.3249617240767 -10.3793481236618 0.956731178940396
"37" 12.0472058641221 -31.3704193040425 24.4274213162026 28.0731712834971
"38" 0.230494937426748 -32.1659995391312 -20.3959127751834 20.7179564529686
"39" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"40" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"41" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"42" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
"43" -12.1492916485127 -20.0068585817125 -5.10994061201582 -17.5102045244141
