"V1" "V2" "V3"
"1" -17.3321428741718 -9.34185885743695 1.1318398624452
"2" 1.71976772429847 3.66828188688809 -6.84211647488909
"3" -24.8724337726824 1.23180628412555 -8.02848513743349
"4" 16.1841476449723 -7.11203591003881 9.80593188545085
"5" -24.8724337726824 1.23180628412555 -8.02848513743349
"6" -24.8724337726824 1.23180628412555 -8.02848513743349
"7" 1.71976772429847 3.66828188688809 -6.84211647488909
"8" 8.75244602126978 7.04537075273851 11.2426087477693
"9" 8.75244602126978 7.04537075273851 11.2426087477693
"10" 4.79662410178856 -10.736179336765 3.01060766229978
"11" -24.8724337726824 1.23180628412555 -8.02848513743349
"12" -17.3321428741718 -9.34185885743695 1.1318398624452
"13" -17.3321428741718 -9.34185885743695 1.1318398624452
"14" 20.0139856014362 -0.421132130429896 -4.96185548007621
"15" 8.75244602126978 7.04537075273851 11.2426087477693
"16" -15.9392656209743 14.8044153878629 0.369434654379113
"17" 4.79662410178856 -10.736179336765 3.01060766229978
"18" -17.3321428741718 -9.34185885743695 1.1318398624452
"19" -4.65414896963954 1.14173007198441 4.44733322414959
"20" -15.9392656209743 14.8044153878629 0.369434654379113
"21" -4.65414896963954 1.14173007198441 4.44733322414959
"22" -4.65414896963954 1.14173007198441 4.44733322414959
"23" -17.3321428741718 -9.34185885743695 1.1318398624452
"24" -17.3321428741718 -9.34185885743695 1.1318398624452
"25" 20.0139856014362 -0.421132130429896 -4.96185548007621
"26" 20.0139856014362 -0.421132130429896 -4.96185548007621
"27" 16.1841476449723 -7.11203591003881 9.80593188545085
"28" 13.2168321445872 12.3624445386796 -0.986477873974941
"29" -15.9392656209743 14.8044153878629 0.369434654379113
"30" -4.65414896963954 1.14173007198441 4.44733322414959
"31" 8.17262476056135 -4.49225757609367 -10.883041319715
"32" 20.0139856014362 -0.421132130429896 -4.96185548007621
"33" 20.0139856014362 -0.421132130429896 -4.96185548007621
"34" 20.0139856014362 -0.421132130429896 -4.96185548007621
"35" 20.0139856014362 -0.421132130429896 -4.96185548007621
"36" 20.0139856014362 -0.421132130429896 -4.96185548007621
"37" 20.0139856014362 -0.421132130429896 -4.96185548007621
"38" 20.0139856014362 -0.421132130429896 -4.96185548007621
"39" -4.65414896963954 1.14173007198441 4.44733322414959
"40" -4.65414896963954 1.14173007198441 4.44733322414959
"41" -4.65414896963954 1.14173007198441 4.44733322414959
"42" -4.65414896963954 1.14173007198441 4.44733322414959
"43" -4.65414896963954 1.14173007198441 4.44733322414959
