"V1" "V2" "V3" "V4" "V5" "V6"
"1" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"2" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"3" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"4" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"5" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"6" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"7" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"8" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"9" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"10" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"11" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"12" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"13" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"14" 3.0204782932774 56.4398181370515 38.3094099757045 6.72143086484646 2.54410123961745 -7.17406781511282
"15" 13.0033880508882 -45.4293328484742 21.1175030655942 26.3464235469587 26.2957507989565 -19.633516053169
"16" 3.32503496514137 -31.5306866031657 10.6534100930623 10.8993547520628 11.6111400648977 -7.14310663390695
"17" 54.3246689904109 -10.0959241637337 -35.1479908834696 21.8443996680036 -13.5646380932809 -12.3174344365824
"18" 26.5165658281251 -51.3661623724173 -8.12127633763695 58.3750596724555 19.910837947523 -10.9653101881545
"19" 36.4221024445189 -17.3247305820107 12.7398756164616 46.1646007428009 21.2723399512673 -5.52140276713111
"20" 53.0333446070336 -21.4011238025691 3.74092991852352 30.0385589986554 9.71626186997895 -20.0671142641017
"21" 43.9985143643858 -27.1268773630495 -18.3232723526358 -0.42815754299522 -22.8512979864299 20.15240034482
"22" 35.3722603082979 -11.6937535960808 -6.44146815679811 42.262780161388 32.2760171126053 -9.49396716701587
"23" -0.243676883034919 -26.0707885919845 -8.08150899399532 16.1000567824926 3.0057060219156 -4.55126566260776
